t=2026-07-14T08:05:44-0400 lvl=info msg="no configuration paths supplied"
t=2026-07-14T08:05:44-0400 lvl=info msg="using configuration at default config path" path=C:\\Users\\YMatos\\AppData\\Local\\ngrok\\ngrok.yml
t=2026-07-14T08:05:44-0400 lvl=info msg="open config file" path=C:\\Users\\YMatos\\AppData\\Local\\ngrok\\ngrok.yml err=nil
t=2026-07-14T08:05:44-0400 lvl=info msg="FIPS 140 mode" enabled=false
t=2026-07-14T08:05:44-0400 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2026-07-14T08:10:21-0400 lvl=info msg="join connections" obj=join id=3ebd9d8e2e33 l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:10:21-0400 lvl=info msg="join connections" obj=join id=85359dccdfce l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:10:21-0400 lvl=info msg="join connections" obj=join id=2f544b8fbc68 l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:10:21-0400 lvl=info msg="join connections" obj=join id=18de34affa9e l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:10:21-0400 lvl=info msg="join connections" obj=join id=155b9e3d2370 l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:10:21-0400 lvl=info msg="join connections" obj=join id=3b614bd7ab10 l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:10:21-0400 lvl=info msg="join connections" obj=join id=2668f246582a l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:10:21-0400 lvl=info msg="join connections" obj=join id=1b1092fd0d88 l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:10:21-0400 lvl=info msg="join connections" obj=join id=7586e28dc23c l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:10:21-0400 lvl=info msg="join connections" obj=join id=6050e3329504 l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:10:21-0400 lvl=info msg="join connections" obj=join id=7cf41f093970 l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:10:21-0400 lvl=info msg="join connections" obj=join id=27371d49573d l=[::1]:3000 r=181.36.78.109:57019
t=2026-07-14T08:10:22-0400 lvl=info msg="join connections" obj=join id=0d53e03fe2d0 l=[::1]:3000 r=181.36.78.109:52886
t=2026-07-14T08:10:22-0400 lvl=info msg="join connections" obj=join id=50e150fa92fe l=[::1]:3000 r=181.36.78.109:33014
t=2026-07-14T08:10:22-0400 lvl=info msg="join connections" obj=join id=88c298b982f4 l=[::1]:3000 r=181.36.78.109:33696
t=2026-07-14T08:10:24-0400 lvl=info msg="join connections" obj=join id=bfd24a8d57e7 l=[::1]:3000 r=181.36.78.109:22054
t=2026-07-14T08:10:27-0400 lvl=info msg="join connections" obj=join id=432489758eb2 l=[::1]:3000 r=181.36.78.109:53639
t=2026-07-14T08:10:29-0400 lvl=info msg="join connections" obj=join id=8fb937dc419c l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:10:29-0400 lvl=info msg="join connections" obj=join id=4c467847418f l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:10:29-0400 lvl=info msg="join connections" obj=join id=906c2b8379a1 l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:10:29-0400 lvl=info msg="join connections" obj=join id=d86e609ffa7e l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:10:29-0400 lvl=info msg="join connections" obj=join id=5228ec611c23 l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:10:29-0400 lvl=info msg="join connections" obj=join id=0e29b8d6afe8 l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:10:29-0400 lvl=info msg="join connections" obj=join id=2a276bed94e3 l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:10:29-0400 lvl=info msg="join connections" obj=join id=a61d05359a95 l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:10:29-0400 lvl=info msg="join connections" obj=join id=19395212b193 l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:10:29-0400 lvl=info msg="join connections" obj=join id=28bb489eaa46 l=[::1]:3000 r=152.166.159.240:54243
t=2026-07-14T08:10:29-0400 lvl=info msg="join connections" obj=join id=0b8529d5b954 l=[::1]:3000 r=152.166.159.240:54243
